21,"413/07","V70 D5",2400,"YV1BW714181000570","8S55214",800468130,"V70 NEW","2003/76B",,"MODRÁ MET.",4/16/2008,10/21/2008,5/19/2009,"Comp.Car","CC KLARA SKALOVA",,,7178,598,5,2990.8333333333,55658,4638,0,0,,,,,,,,,,2990.8333333333,,,,,,,
22,"208/08","XC70 D5 AWD",2400,"YV1BZ714681031916","8S78571",800468115,"XC70 NEW","2003/76B",,"ŠEDA MET.",5/7/2008,,6/1/2009,"Comp.Car","CC BIRBI",,"30000km",7178,598,5,2990.8333333333,58760,4897,5,24483.3333333333,,,,,,,,,,27474.1666666667,,,,,,,
23,"880/07","XC90 D5 AWD SPORT",2400,"YV1CR714681437185","8S80057",800468060,"XC90","2003/76B",,"ČERVENA ZAKL.",6/13/2008,7/9/2008,"Odcizena","DO Demo","Leasingovky",,,7178,598,0,0,65295,5441,0,0,,,,,,,,,,0,,,,,,,
24,"1339/07","V70 2,4D",2400,"YV1BW694181027180","8S80056",800468071,"V70 NEW","2003/76B",,"TM.MODRÁ MET.",6/13/2008,4/7/2009,4/14/2009,"DO Demo","Leasingovky",,,7178,598,4,2392.6666666667,45973,3831,4,15324.3333333333,,,,,,,,,,17717,,,,,,,
25,"334/07","S80 V8",4414,"YV1AR855671043951","8S80043",800468104,"S80 NEW","2003/76B",,"ŠEDÁ MET.",6/13/2008,3/15/2009,4/7/2009,"Courtesy","COURTESY AFS",,,9488,791,4,3162.6666666667,85147,7096,3,21286.75,,,,,,,,,,24449.4166666667,,,,,,,
26,"711/06","S80 3,2",3192,"YV1AS985071007105","8S80042",800468034,"S80 NEW","2003/76B",,"ZLATÁ MET.",6/13/2008,1/29/2009,6/25/2009,"Bazar","Leasingovky, faktura 23.6.2009",,,9488,791,6,4744,48814,4068,1,4067.8333333333,,,,,,,,,,8811.8333333333,,,,,,,
27,"322/07","S80 2,4D",2400,"YV1AS694071026784","8S80041",800468045,"S80 NEW","2003/76B",,"STŘÍBRNA MET.",6/13/2008,1/29/2009,6/17/2009,"Bazar","Leasingovky",,,7178,598,6,3589,46363,3864,1,3863.5833333333,,,,,,,,,,7452.5833333333,,,,,,,
28,"671/08","V70 D5",2400,"YV1BW714091073040","8S80480",800467942,"V70 NEW","2003/76B",,"SEASHELL MET.",6/30/2008,3/30/2009,4/27/2009,"Comp.Car","CC P. HAVLIK/ AB AUTO BRNO",,,7178,598,4,2392.6666666667,54142,4512,3,13535.5,,,,,,,,,,15928.1666666667,,,,,,,
29,"248/08","XC70 D5 AWD",2400,"YV1BZ714681033809","8S80479",800467953,"XC70 NEW","2003/76B",,"ČERVENA MET.",6/30/2008,,12/7/2009,"Cust. Serv.","CC T. MARUNIAK",,"36500km",7178,598,12,7178,60216,5018,12,60216,,,,,,,,,,67394,,,,,,,
30,"445/08","XC70 D5 AWD VOR",2400,"YV1BZ714691053475","8S81369",800467931,"XC70 NEW","2003/76B",,"VOR MODRÁ MET.",7/17/2008,,6/24/2009,"Mrktng","PRESS",,,7178,598,6,3589,67818,5652,6,33909,,,,,,,,,,37498,,,,,,,
